Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-01-25,49.08731088246201,50.15520542952285,49.04244199655261,50.10136413574219,5113200,0.0,0,,,,,,,,,,50.31775665283203
2017-01-26,50.9808073362704,51.86025050903315,50.65774588030111,51.08849334716797,5702300,0.0,0,0.019702641404160115,1.0197026414041601,,,,,,,,50.335819244384766
2017-01-27,51.09746634133882,51.133362819808745,50.35263324110921,50.51416397094727,2927800,0.0,0,-0.01124185386164911,1.008239293327157,,,,,,,,50.14617156982422
2017-01-30,50.25392007454977,50.37955432701188,49.82317259898968,49.93085861206055,3279000,0.0,0,-0.011547362423383056,0.9965967887976126,,,,,,,,50.14617156982422
2017-01-31,49.93085672522189,49.93085672522189,49.13217893051402,49.69753646850586,2966100,0.0,0,-0.0046729046934179674,0.991939786985795,,,,,,,,50.75121688842773
2017-02-01,49.59882227729487,49.98470084684353,49.383446838577,49.77830123901367,1951800,0.0,0,0.0016251262385811316,0.9935518143607182,,,,,,,,51.66329193115234
2017-02-02,49.76035792197594,49.76933033047487,49.42832403508662,49.63472366333008,1514100,0.0,0,-0.002884340608454994,0.9906860725159534,,,,,,,,51.57299423217773
2017-02-03,49.73343761287823,50.00265781409127,49.54498621065074,49.60780334472656,1573600,0.0,0,-0.0005423686608212464,0.9901487554375087,,,,,,,,51.464622497558594
2017-02-06,49.428318821434935,49.8770145111432,49.37447410629042,49.80522155761719,1466900,0.0,0,0.003979579815674539,0.9940891314391631,,,,50.45134625279288,,,,51.80778121948242
2017-02-07,49.85906668866237,49.93085621951078,49.52702941074952,49.760353088378906,1550000,0.0,0,-0.000900878820233264,0.9931935775952255,,,,50.49621471977359,,,,51.96129989624024
2017-02-08,49.98470757090789,50.056497111286845,49.67061848982885,49.88599395751953,1724000,0.0,0,0.002524919164409445,0.9957013110932641,,,,50.132770875161384,,,,52.05159759521485
2017-02-09,49.77831446479376,50.684678498537984,49.76036622152549,50.53212356567383,3283000,0.0,0,0.01295212457237005,1.0085977585114163,,,,49.908428714526,,,,52.15997314453125
2017-02-10,50.2718642535666,50.55005680674687,50.14623001125175,50.47826385498047,2610300,0.0,0,-0.0010658509259632298,1.0075227436565826,,,,49.908428714526,,,,52.18706512451172
2017-02-13,50.81927202093691,51.0884887355175,50.639793070124426,50.66671371459961,2687800,0.0,0,0.003733287265198726,1.0112841154848737,,,,50.23148142090396,,,,52.638580322265625
