Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-02-06,148.02925881200855,149.54804035558615,147.70852591318098,148.4254608154297,567100,0.0,0,,,,,,,,,,161.93414306640625
2017-02-07,152.83088070831255,153.03841716567317,146.98216133224514,151.2177734375,585300,0.0,0,0.018812895083698766,1.0188128950836988,,,,,,,,162.35862731933594
2017-02-08,151.642255765254,154.31191586777925,151.642255765254,154.07608032226562,452900,0.0,0,0.018901924157394,1.038070419157146,,,,,,,,162.28314208984375
2017-02-09,154.07609735445595,155.17037786122754,153.65159620445726,154.6609649658203,235900,0.0,0,0.003796076862361497,1.0420110142568102,,,,,,,,161.92471313476562
2017-02-10,154.99112081319095,155.5854165899069,152.05732610001468,153.99118041992188,295300,0.0,0,-0.004330663177010807,1.0374984155273286,,,,,,,,159.09466552734375
2017-02-13,154.85906933942348,154.9156675721184,151.8969752095514,151.98187255859375,306400,0.0,0,-0.013048200915460884,1.0239609277520556,,,,,,,,160.31153869628906
2017-02-14,151.39702859964035,151.43475596257386,150.33104706991708,151.08572387695312,249900,0.0,0,-0.0058964182145809785,1.017923225886639,,,,,,,,160.93417358398438
2017-02-15,150.96308475260253,150.96308475260253,148.45379048685015,150.29331970214844,424500,0.0,0,-0.005244732291517118,1.0125844910735462,,,,,,,,160.02859497070312
2017-02-16,150.82156014006478,161.1228555507959,150.5291263522313,158.2079315185547,1793200,0.0,0,0.052661101851309455,1.0659083060910266,,,,154.0525084415205,,,,160.35874938964844
2017-02-17,152.93465258508874,154.6043725248609,151.25550440403387,153.32142639160156,731700,0.0,0,-0.030886600185276003,1.0329860224066283,,,,154.0525084415205,,,,159.99087524414062
2017-02-21,154.06666842587404,155.94391035497551,153.53838465670498,155.7363739013672,329200,0.0,0,0.01575088079077447,1.0492564621040914,,,,154.788323018823,,,,159.53689575195312
2017-02-22,154.79301790656626,156.55707760596405,154.01004215445295,154.73641967773438,181600,0.0,0,-0.006420813574779305,1.0425193819687886,,,,154.788323018823,,,,159.1018524169922
2017-02-23,155.17980024925257,156.05710163321,153.5383795510045,155.20809936523438,314600,0.0,0,0.003048278411005967,1.0456972712938992,,,,154.788323018823,,,,158.2222900390625
2017-02-24,154.53832713673063,156.62310535175243,154.17985249219342,156.5382080078125,250900,0.0,0,0.008569840414372587,1.0546587300306327,,,,154.788323018823,,,,157.3332977294922
2017-02-27,156.2929132916578,159.28332043613315,156.2929132916578,157.75509643554688,290900,0.0,0,0.007773747018195332,1.062857380188422,,,,154.788323018823,,,,156.86988830566406
2017-02-28,157.05704366148234,157.9154740998043,155.17978755412224,155.29298400878906,613600,0.0,0,-0.015607181526231972,1.046269172119326,,,,154.788323018823,,,,155.56478881835938
2017-03-01,156.84950289821387,159.29275560566342,156.84006026441304,158.00038146972656,512700,0.0,0,0.017434126069625133,1.0645099607688167,,,,155.82599095151357,,,,156.28350830078125
2017-03-02,157.6891055788982,158.62300526285603,157.0098979573317,157.84947204589844,277500,0.0,0,-0.0009551206296108949,1.0634932253448601,,,,155.27413000484864,,,,155.6782684326172
2017-03-03,158.1419008017083,159.56634247661037,157.45326496091573,158.1136016845703,257600,0.0,0,0.0016733007418299195,1.0652727693477608,,,,156.55236101380746,,,,157.31439208984375
2017-03-06,157.46271940439718,157.46271940439718,156.198643981016,157.08538818359375,254100,0.0,0,-0.006503004738503182,1.0583452954808938,154.67888793945312,160.34896954002,149.00880633888625,156.55236101380746,,,,158.7897186279297
2017-03-07,156.89667495311454,157.6230380524141,156.2457665596635,156.3589630126953,205300,0.0,0,-0.004624396828363353,1.0534510868531588,155.0755630493164,159.9926303398686,150.1584957587642,156.55236101380746,,,,156.49160766601562
2017-03-08,156.00994196675967,157.66079086252122,155.8967311115249,156.12313842773438,177100,0.0,0,-0.0015082255626227559,1.0518622449949941,155.32083129882812,159.91942706123152,150.72223553642473,156.8730974844019,,,,156.2646026611328
2017-03-09,156.113674159468,158.09468374064812,156.0382050714816,157.1041717529297,220300,0.0,0,0.00628371511791892,1.0584718476858372,155.47223587036132,160.09653433095568,150.84793740976696,157.3730650153663,,,,158.24124145507812
2017-03-10,157.4343323155477,158.9908407244863,156.88719227511487,157.82110595703125,238100,0.0,0,0.00456343199612208,1.0633021119825612,155.63024291992187,160.34888921343673,150.911596626407,157.3730650153663,,,,158.04261779785156
2017-03-13,158.13247771979582,159.2361865069684,157.14196540486813,158.8588409423828,278800,0.0,0,0.006575387867539639,1.0702937357892206,155.8736259460449,160.73063040255423,151.0166214895356,157.73153679406764,,,,158.68569946289062
2017-03-14,158.5475244260028,159.8681976980098,157.64190961501296,158.877685546875,241700,0.0,0,0.00011862483938829271,1.070420699211727,156.218416595459,160.8951769652394,151.5416562256786,157.88246440476735,154.0525084415205,,,160.1232147216797
2017-03-15,159.4248490876816,162.32091686496946,158.340011197748,161.93414306640625,234600,0.0,0,0.01923780239503481,1.0910132411027171,156.76083755493164,161.44711210144055,152.07456300842273,159.1088239882472,154.65153909860732,,,163.07394409179688
2017-03-16,158.18905650463,162.83029842137407,158.18905650463,162.35862731933594,260700,0.0,0,0.00262133880410631,1.0938731564474136,157.364102935791,161.64987400676415,153.07833186481787,159.3635147664495,155.64204445411212,,,159.18695068359375
